"Timestamp","ISBN","Title","Author","Publisher","Year","Summary","Genre","Reading level","Page count","Price"
"2020/02/10 8:52:50 PM PST","","My Picture Book of Flower","Md. Shirajul Islam Bhuiyan","Shishu Shahittya Center","","Contains name and picture of different flowers","Factual","2","6","5"
"2020/02/10 8:57:21 PM PST","","My Picture Book of Animal","Md. Shirajul Islam Bhuiyan","Shishu Shahittya Center","","Contains name and picture of Animals","Factual","2","4","5"
"2020/02/10 9:12:17 PM PST","9847003800616","Swapnobilasi Pakhi","Tanveer Ahmed Sydney","Panjeeri","2008","Chinese folklore","Fiction","5","22","5"
"2020/02/10 9:17:47 PM PST","9841900092","Chhutir Dine Dupure","Dr. Joya Senguptaa","Brac","1994","","Fiction","6","35","5"
"2020/02/10 9:24:07 PM PST","9844651360","Hercules","Walt Disney","Disney Enterprises Inc.","","","Fairy tale","5","23","5"
