"Timestamp","ISBN","Title","Author","Publisher","Year","Summary","Genre","Reading level","Page count","Price"
"2020/01/31 3:40:49 PM PST","","Golper Asor(1)","Brac","Brac","2017","Ke RaJa","General","2","10","5"
"2020/01/31 3:42:17 PM PST","","Golper Asor(1)","Brac","Brac ","2107","Ke Raja","General","2","10","5"
"2020/01/31 3:43:13 PM PST","","Golper Asor ","Brac ","Brac ","2017","Ke raja","General","2","10","5"
"2020/01/31 3:44:07 PM PST","","Golper Asor ","Brac ","Brac ","2017","Ke raja","General","2","10","5"
"2020/01/31 3:45:48 PM PST","","Golper Asor (4)","Brac ","Brac","2017","Koto boro shalgom","General","4","10","5"
"2020/01/31 3:46:45 PM PST","","Golper Asor (4)","Brac","Brac ","2017","Koto boro shalgom","General","4","10","5"
"2020/01/31 3:48:13 PM PST","","Golper Asor (4)","Brac ","Brac ","2018","Koto Boro shalgom","General","4","10","5"
"2020/01/31 3:49:53 PM PST","","Golper Asor(4) ","Brac ","Brac ","2017","Koto boro shalgom","General","4","10","5"
"2020/01/31 3:50:42 PM PST","","Golper Asor (4)","Brac ","Brac ","2017","Koto boro shalgom ","General","4","10","5"
"2020/01/31 3:52:26 PM PST","","GolperAsor(2)","Brac ","Brac ","2017","Bera O chagol","General","2","10","5"
"2020/01/31 3:53:23 PM PST","","Golper Asor (2)","Brac","Brac","2017","Bera O chagol","General","2","10","5"
"2020/01/31 3:54:45 PM PST","","GolperAsor(2)","Brac","Brac","2017","Bera O chagol ","General","2","10","5"
"2020/01/31 3:55:38 PM PST","","GolperAsor (2)","Brac","Brac","2017","Bera O chagol","General","2","10","5"
"2020/01/31 3:56:31 PM PST","","GolperAsor (2)","Brac","Brac","2017","Bera O chagol","General","2","10","5"
"2020/01/31 3:57:44 PM PST","","GolperAsor (3)","Brac ","Brac ","2017","Amar biral ","General","3","10","5"
"2020/01/31 3:58:37 PM PST","","GolperAsor (3)","Brac","Brac ","2017","Amar biral","General","3","10","5"
"2020/01/31 3:59:28 PM PST","","GolperAsor (3)","Brac ","Brac ","2017","Amar biral ","General","3","10","5"
"2020/01/31 4:00:19 PM PST","","GolperAsor (3)","Brac ","Brac ","2017","Amar biral ","General","3","10","5"
"2020/01/31 4:01:12 PM PST","","Golper Asor (3)","Brac ","Brac ","2017","Amar biral ","General","3","10","5"
"2020/01/31 4:15:31 PM PST","9789350491157","The Daughter Of Nature ","Robindranath Tagore","Shree book center","2015","","Biography","4","16","10"
"2020/01/31 4:17:04 PM PST","","Dui bon","Limia Dewan & jishan Rahman ","Brac","2017","","General","2","10","5"
"2020/01/31 4:18:21 PM PST","","Dui Bon","Limia Dewan & jishan Rahman"," Brac","2017","","General","2","10","5"
"2020/01/31 4:19:07 PM PST","","Dui Bon","Limia Dewan & jishan Rahman ","Brac","2017","","General","2","10","5"
"2020/01/31 4:22:17 PM PST","9841901049","Dekchir Bachcha","Syad Najmul Abdal","Brac ","2008","","General","3","8","5"
"2020/01/31 4:24:14 PM PST","9841901049","Dekchir Bachcha ","Syad Najmul Abdal","Brac","2008","","General","3","8","5"
"2020/01/31 4:25:24 PM PST","9841901049","Dekchir Bachcha ","Sayed Najmul Abdal ","Brac ","2008","","General","3","8","5"
