Timestamp,ISBN,Title,Author,Publisher,Year,Summary,Genre,Reading level,Page count,Price
,9848494285,Tumi Ki Amaar Maa,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,,Laal Paakhi Neel Paakhi,,Brac,,,Fiction,2,12,5
,,Inchu,,Brac,,,Fiction,2,8,5
,9848494234,Aamraa Somudro Dekhte Giyechhilaam Level-5 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494065,Aamraa Khelaa Kori Level-2 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494065,Aamraa Khelaa Kori Level-2 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494065,Aamraa Khelaa Kori Level-2 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9843000005375,Naamaaj Kivaabe Porte Hoy,Saniyasnain Khan,Bangla Prokaash,,,General,6,24,5
,9848494218,Jhik Jhik Train Chole Level-4 Book-6,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Daadimaa O Aami,Farzana Ahmed,Brac,,,Fiction,2,10,10
,9789849113981,Baagher Upor Taag,Upendrokishor Ray Chowdhury,Paathshaalaa,,,Fiction,6,16,5
,9848494960,Aamaar Notun Camera,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Chhotto Chhele Belaal,Limiyaa Dewaan & Jeeshaan Rahman,Brac,,,Fiction,2,10,10
,,Meenaa ki School Chhere Dibe,Animation,Brac,,,Fiction,4,26,10
,,Shaantir Ghor,Translation,Brac,,,Fiction,2,8,10
,,Tusir Aamgaachh,Limiyaa Dewaan,Brac,,,Fiction,3,16,10
,9848494952,Khorgosh Chhaanaa Berhaate Jaabe,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Prithhibeer Sobcheye Borho Pithaa,Limiyaa Dewaan,Brac,,,Fiction,2,10,10
,,Fuler Haasi,,Brac,,,Fiction,2,8,5
,9848494116,Aamraa Saalaad Baanaate Paari Level-3 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9841901057,Hojjar Chhagol,,Brac,,,Fiction,5,8,5
,9848494175,Doitto Onek Kaaj Kore Level-4 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494006,Aami Rong Korte Paari. Level-1 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494006,Aami Rong Korte Paari. Level-1 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494006,Aami Rong Korte Paari. Level-1 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494191,Petuk Robot Level-4 Book-4,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9841900998,Kumrholota O Paakhi,Biprodaash Borhuaa,Brac,,,Fiction,6,31,10
,9841900998,Kumrholota O Paakhi,Biprodaash Borhuaa,Brac,,,Fiction,6,31,10
,9841900998,Kumrholota O Paakhi,Biprodaash Borhuaa,Brac,,,Fiction,6,31,10
,9848494183,Aami Ektaa Mojaar Sopno Dekhechhi Level-4 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Shiyaaler Kaathhaal Khaawaa,,Brac,,,Fiction,2,10,5
,9789849125136,Aamio paari,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849125136,Aamio paari,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9841900289,Eeshoper Golpo,Sayed Nojmul Aabdaal,Brac,,,Fiction,5,24,10
,984862502,Doitter Khidhe Peyechhe,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Rubi O Saap,,Brac,,,Fiction,2,10,5
,9848494269,Khaabaar Aashaay Kumir Level-5 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,4,16,5
,9841901057,Hojjar Chhagol,,Brac,,,Fiction,5,8,5
,9781595721358,Rong Beronger Praani,"Wildsmith, Brian",Star Bright Books,1/1/2009,,Fiction,1,16,5
,,Lovee Birhaal,,Brac,,,Fiction,2,8,5
,9789849125143,Aamaar Aachhe,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,9789849125143,Aamaar Aachhe,Nirapod Sorkaar,Boi Porhi,,,,2,12,5
,,Porichoy,Monjur Kaader  Aamin,Brac,,,Fiction,4,8,5
,8943000005429,Ujaairer Gaadhaa,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9841901049,Dekchir Bachcha,,Brac,,,Fiction,4,8,5
,9848494012,Aamaar Haat. Level-1 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,,Laal Murgi,Jeeshan Rahman,Brac,,,Fiction,2,12,10
,9848494116,Aamraa Saalaad Baanaate Paari Level-3 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,984849491,Ekhon Khelaar Somoy!,Von Oi Chin,World's of Children's Books Limited,,,Fiction,3,12,5
,,Murgigulo Gune Raakho,Animation,Brac,,,Fiction,3,35,10
,9789849212799,Nodee Nebe,Kakoli Prodhan,IKRIMKRI BOOK STUDIO,,,Fiction,3,16,5
,,Porichoy,Monjur Kaader  Aamin,Brac,,,Fiction,4,8,5
,,Lovee Birhaal,,Brac,,,Fiction,2,8,5
,9848494183,Aami Ektaa Mojaar Sopno Dekhechhi Level-4 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Saataar Jaane Ke Ke,,Brac,,,Fiction,2,8,5
,,Dui Bon,Limiyaa Dewaan & Jeeshaan Rahman,Brac,,,Fiction,2,10,10
,9843000005375,Naamaaj Kivaabe Porte Hoy,Saniyasnain Khan,Bangla Prokaash,,,General,6,24,5
,9841901022,Bondhur Khoje,Tonimaa Afroj,Brac,,,Fiction,5,12,10
,,Porichoy,Monjur Kaader  Aamin,Brac,,,Fiction,4,8,5
,,Haas Aar Murgi,,Brac,,,Fiction,2,8,5
,,Shiyaaler Kaathhaal Khaawaa,,Brac,,,Fiction,2,10,5
,9848494234,Aamraa Somudro Dekhte Giyechhilaam Level-5 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,,Golper Asor-1,,Brac,,,Fiction,2,16,10
,9841901065,Hojja O Chor,,Brac,,,Fiction,4,8,5
,9841900394,Daasur Gaarhi,Md. Rofikul Islam,Brac,,,Fiction,5,28,5
,9841900394,Daasur Gaarhi,Md. Rofikul Islam,Brac,,,Fiction,5,28,5
,9841900394,Daasur Gaarhi,Md. Rofikul Islam,Brac,,,Fiction,5,28,5
,9841900394,Daasur Gaarhi,Md. Rofikul Islam,Brac,,,Fiction,5,28,5
,9848494311,Sobaai Mile Khelaa Kori,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,8943000006648,Prithibir Prothom Maanob,Saniyasnain Khan,,,,General,,24,
,8943000006648,Prithibir Prothom Maanob,Saniyasnain Khan,,,,General,,24,
,9848494049,Boloto Ki Dekhcho? Level-1 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494049,Boloto Ki Dekhcho? Level-1 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494049,Boloto Ki Dekhcho? Level-1 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494049,Boloto Ki Dekhcho? Level-1 Book-5,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,,Golper Asor-3,,Brac,,,Fiction,4,27,10
,9848625003,Milir Party,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848625003,Milir Party,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9843000000539,Ek Oloukik Ghotonaa,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,,Chhorhaay Chhorhaay,Rhymes,Brac,,,Fiction,2,6,5
,8943000005368,Mohaanobi (S) Ebong Ondho Lokti,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9848494073,Amaader Notun Baari Level-2 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494073,Amaader Notun Baari Level-2 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9848494073,Amaader Notun Baari Level-2 Book-3,Lorraine Li,World's of Children's Books Limited,,,Fiction,3,16,5
,9841900262,Nokol Raajaa,Md. Rofikul Islam,Brac,,,Fiction,4,24,5
,9841900262,Nokol Raajaa,Md. Rofikul Islam,Brac,,,Fiction,4,24,5
,9841900262,Nokol Raajaa,Md. Rofikul Islam,Brac,,,Fiction,4,24,5
,9841900262,Nokol Raajaa,Md. Rofikul Islam,Brac,,,Fiction,4,24,5
,,Jeebon Baachaano,Animation,Brac,,,Fiction,4,26,10
,9789843396624,Eso Rong Chini,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,,Tusir Aamgaachh,Limiyaa Dewaan,Brac,,,Fiction,3,16,10
,,Baalir Niche Kiser Dim,,Brac,,,Fiction,2,8,5
,,Ek Minuter Moddhe,,Brac,,,Fiction,3,8,5
,,Daarhkinaar Biye,,Brac,,,Fiction,2,8,5
,,Daarhkinaar Biye,,Brac,,,Fiction,2,8,5
,9789843402271,Aami Jaa Kori,Muniraa Saifuddin,Ignite Publications Limited,,,Fiction,1,,5
,8943000005429,Ujaairer Gaadhaa,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,,Rubi O Saap,,Brac,,,Fiction,2,10,5
,9789383202409,Ganesha,,,,,General,1,,5
,,Dui Bon,Limiyaa Dewaan & Jeeshaan Rahman,Brac,,,Fiction,2,10,10
,9843000007959,Saabaar Baagaan,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9781595726605,Aamaar Facebok,Star Bright Books,Star Bright Books,9/1/2013,,Fiction,1,12,5
,,Tusir Aamgaachh,Limiyaa Dewaan,Brac,,,Fiction,3,16,10
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494928,Maayer Notun Fuldaani,Von Oi Chin,World's of Children's Books Limited,,,Fiction,2,12,5
,9848494014,Baabaa o Aami. Level-1 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494014,Baabaa o Aami. Level-1 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494014,Baabaa o Aami. Level-1 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494014,Baabaa o Aami. Level-1 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,9848494014,Baabaa o Aami. Level-1 Book-2,Lorraine Li,World's of Children's Books Limited,,,Fiction,2,16,5
,,Fuler Haasi,,Brac,,,Fiction,2,8,5
,,Meenaa ki School Chhere Dibe,Animation,Brac,,,Fiction,4,26,10
,9789849113843,Raajaa Khaay Baeng Vaajaa,Upendrokishor Ray Chowdhury,Paathshaalaa,,,Fiction,6,16,5
,,Dui Paakhi,,Brac,,,Fiction,2,8,5
,9789848494165,Motuk Berhaal Level-4 Book-1,Lorraine Li,,,,Fiction,,16,
,9789849212843,Voot Ki Odvoot,Tushar Abdullah,IKRIMKRI BOOK STUDIO,,,Fiction,4,8,5
,9789849212874,Thik Dukkur Bela,Dhruba Esh,IKRIMKRI BOOK STUDIO,,,Fiction,4,16,10
,9789843396617,Jokhon Aami Ghuri O Urhi,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,9789843396617,Jokhon Aami Ghuri O Urhi,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,9789843396617,Jokhon Aami Ghuri O Urhi,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,,Shaantir Ghor,Translation,Brac,,,Fiction,2,8,10
,9789843411013,Aamaar Prio Poribaar,Muniraa Saifuddin,Ignite Publications Limited,,,Fiction,1,,5
,9789843411013,Aamaar Prio Poribaar,Muniraa Saifuddin,Ignite Publications Limited,,,Fiction,1,,5
,,Dui Paakhi,,Brac,,,Fiction,2,8,5
,,Laal Paakhi Neel Paakhi,,Brac,,,Fiction,2,12,5
,,Aadibaaseeder Peshaa,,Brac,,,Fiction,2,10,5
,9789849209690,Briddher Praarthonaa,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9848494336,Chhotto Murgi Chhaanaa,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,9789843406729,Fol O Sobji Chini,Muniraa Saifuddin,Ignite Publications Limited,,,Fiction,1,,5
,9789843406729,Fol O Sobji Chini,Muniraa Saifuddin,Ignite Publications Limited,,,Fiction,1,,5
,9841901065,Hojja O Chor,,Brac,,,Fiction,4,8,5
,,Laal Paakhi Neel Paakhi,,Brac,,,Fiction,2,12,5
,,Mitur Shopno,Translated,Brac,,,Fiction,3,14,10
,,Lovee Birhaal,,Brac,,,Fiction,2,8,5
,9841901049,Dekchir Bachcha,,Brac,,,Fiction,4,8,5
,,Golper Asor-4,,Brac,,,Fiction,4,20,10
,9843000007959,Saabaar Baagaan,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
,9789849165309,Aamaar Priyo Bornomaalaa,Jugol Sorkaar,Children Books Centre,,,Fiction,1,,5
,,Porichoy,Monjur Kaader  Aamin,Brac,,,Fiction,4,8,5
,,Sojaru Chhaanaa,,Brac,,,Fiction,2,8,5
,9848494311,Sobaai Mile Khelaa Kori,Saamsi Haasaan,World of Children's Books Ltd,,,,4,15,5
,,Shaantir Ghor,Translation,Brac,,,Fiction,2,8,10
,,Saataar Jaane Ke Ke,,Brac,,,Fiction,2,8,5
,9789843413468,Eso Shobdo Shikhi,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,9789843413468,Eso Shobdo Shikhi,Saabrinaa Islaam,Ignite Publications Limited,,,Fiction,1,,5
,,Dui Paakhi,,Brac,,,Fiction,2,8,5
,9843000007911,Dui Baagichaar Golpo,Saniyasnain Khan,Bangla Prokaash,,,General,5,24,5
